beauty_seq,mem_seq,beauty_name,beauty_locate,beauty_content,beauty_phone,beauty_score,beauty_hit,beauty_wdate,beauty_update
0,27,헤어20J,서울 동작구 동작대로27가길 36 (우)07008,hi,02-5108-6736,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
1,26,블루클럽 사당점,서울 관악구 남부순환로 2062 1층 (우)08806,매일 10:00 ~ 20:00,02-8256-4618,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
2,27,박승철헤어스투디오 방배점,서울 서초구 방배로 104 인혜빌딩 2층 (우)06665,매일 10:30 ~ 21:00,02-3950-8352,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
3,35,박준뷰티랩,서울 서초구 서초대로22길 11 (우)06672,hi,02-9961-7165,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
4,32,블루클럽 방배점,서울 서초구 방배로 116 (우)06664,hi,02-584-1733,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
5,32,로이드밤 사당역점,서울 동작구 동작대로7길 4 2층 (우)07015,매일 10:00 ~ 21:00,02-6088-7942,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
6,29,헤어더뷰 이수점,서울 동작구 동작대로 107 2층 (우)07008,hi,02-535-6262,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
7,30,쓰담스타일을담다 M 이수점,서울 서초구 방배천로18길 11 상가B동 106호 (우)06676,hi,02-523-6941,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
8,29,이철헤어커커 방배점,서울 서초구 방배로 93 보령빌딩 2층 2호 (우)06686,hi,02-2055-2326,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
9,30,살롱드키코 이수역점,서울 서초구 서초대로 3-4 디오슈페리움1차 1층 101-2호 (우)06568,월~금 11:00 ~ 21:00,02-9123-5028,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
10,28,너만봄헤어,서울 동작구 사당로29가길 6 1층 102호 (우)07008,hi,02-6449-2187,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
11,30,굿뉴스바버샵,서울 서초구 도구로 123-2 (우)06569,hi,02-4902-5276,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
12,30,진미장살롱,서울 서초구 서초대로 17 (우)06569,hi,02-6445-9199,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
13,29,커즈헤어 사당역점,서울 서초구 동작대로 56 (우)06677,hi,02-4699-6948,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
14,30,라라엘헤어,서울 동작구 사당로 243 3층 (우)07005,hi,02-583-0128,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
15,28,LEMIT르미트,서울 동작구 동작대로 119 5층 (우)07008,화~일 10:30 ~ 20:30,02-3330-5519,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
16,28,재현하다,서울 서초구 방배천로24길 11 (우)06675,hi,02-6196-3966,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
17,33,에니스모어헤어 이수역점,서울 동작구 사당로 282 2층 (우)07013,hi,02-5869-1959,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
18,29,아름디헤어 이수역점,서울 서초구 서초대로3길 10-2 1층 (우)06569,화요일,02-5113-0792,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
19,30,리소헤어 이수역점,서울 동작구 동작대로 123 2층 (우)07008,매일 11:00 ~ 22:00,02-8101-3324,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
20,34,하루,서울 서초구 청두곶7길 21 1층 (우)06691,화~일 10:00 ~ 20:00,02-6368-3145,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
21,33,이훈ALL30000,서울 동작구 동작대로 71 (우)07013,hi,02-1683-1420,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
22,31,하이리헤어,서울 서초구 방배천로6길 33-1 (우)06691,hi,02-2525-6519,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
23,33,이진헤어 본점,"서울 동작구 사당로 300 이수자이 2층 223,224호 (우)07013",월~토 10:00 ~ 21:00,02-6646-9357,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
24,27,에이컨셉 이수점,서울 동작구 동작대로 103 (우)07008,hi,02-535-4425,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
25,31,핑크헤어,서울 동작구 사당로28길 13 (우)07013,hi,02-6025-8809,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
26,31,이훈plan30000 방배역점,서울 서초구 효령로 115 2층 (우)06686,월~토 10:00 ~ 20:00,02-2459-5369,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
27,33,살롱드여운 이수역점,서울 동작구 동작대로27가길 48 보미빌딩 4층 (우)07008,매일 10:30 ~ 20:00,02-533-2437,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
28,30,제오헤어 이수역점,서울 서초구 동작대로 108 디오슈페리움2 2층 201호 (우)06568,매일 10:00 ~ 21:00,02-1568-6947,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
29,34,하리미헤어,서울 동작구 동작대로5길 20 2층 (우)07015,화~일 11:00 ~ 20:00,02-3381-8598,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
30,26,오다헤어 이수점,서울 동작구 동작대로27길 11 (우)07008,hi,02-8274-2471,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
31,29,가든미용실,서울 동작구 동작대로15길 96 (우)07012,hi,02-4172-7283,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
32,26,살롱라인,서울 동작구 동작대로33길 7 1층 (우)06997,화~일 10:00 ~ 20:00,02-6945-5656,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
33,26,숫컷 이수점,서울 동작구 동작대로29길 50 (우)06997,hi,02-9564-3286,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
34,29,준오헤어 낙성대역점,서울 관악구 남부순환로 1931 케이타워 2층 (우)08801,매일 10:00 ~ 21:30,02-6465-9926,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
35,33,헤어스토리,서울 서초구 서초대로1길 15 1층 102호 (우)06567,hi,02-4023-1492,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
36,34,헤어마시멜로 방배점,서울 서초구 효령로27길 35 2층 (우)06685,월~토 10:30 ~ 20:30,02-7557-4553,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
37,31,심비디움,서울 서초구 방배로23길 14 (우)06672,hi,02-6266-9137,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
38,29,김민헤어,서울 동작구 동작대로9나길 17 (우)07015,hi,02-3887-5684,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
39,33,온더에이치,서울 서초구 방배로15길 7 1층 101호 (우)06683,월~금 10:00 ~ 20:00,02-1095-5106,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
40,29,헤어메세지,서울 서초구 청두곶13길 21 (우)06677,hi,02-5063-2399,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
41,29,서로헤어,서울 서초구 동광로12가길 7 1층 (우)06568,hi,02-6014-4616,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
42,30,언니네헤어샵,서울 동작구 사당로16길 28 (우)07010,hi,02-7027-4214,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
43,33,부엔헤어샵 이수점,서울 서초구 방배천로4안길 84 101호 (우)06677,hi,010-5532-7954,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
44,32,이다헤어샵,서울 동작구 동작대로9가길 1 (우)07015,매일 10:30 ~ 22:00,070-4235-0828,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
45,26,김민희헤어클럽,서울 동작구 사당로27길 56 (우)07007,hi,02-6797-7746,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
46,34,이채영헤어,서울 서초구 서초대로1길 6 (우)06568,hi,02-0504-2782,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
47,26,살랑,서울 서초구 방배천로18길 11 방배롯데캐슬아르떼상가 A동 102호 (우)06676,hi,02-522-5143,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
48,29,끄댕이 사당역점,서울 동작구 동작대로5길 13 양재빌딩 2층 (우)07015,hi,0507-1327-9425,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
49,32,차홍룸 방배점,서울 서초구 방배로 103 2층 (우)06683,매일 10:00 ~ 19:00,02-9165-5939,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
50,32,수헤어,서울 서초구 방배천로6길 39-2 1층 (우)06691,hi,02-598-4225,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
51,27,이젤,서울 서초구 방배중앙로25길 21 1층 (우)06558,hi,02-6760-5309,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
52,33,윤스헤어카페,서울 동작구 동작대로29길 69 1층 (우)06999,월~토 09:00 ~ 19:30,02-6087-4369,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
53,28,메리엘살롱 이수점,서울 동작구 사당로 300 (우)07013,hi,02-6840-3953,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
54,34,오땡큐헤어천염염색,서울 서초구 방배중앙로21길 48 (우)06559,hi,02-7226-0236,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
55,29,문헤어샵,서울 서초구 서초대로1길 14 (우)06567,hi,02-3709-8727,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
56,28,헤어살롱Rebook,서울 서초구 방배천로20길 17 (우)06675,hi,02-4666-8336,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
57,29,감동미장원123,서울 서초구 방배천로2안길 120 경현행복한집 1층 102호 (우)06677,hi,02-9863-2859,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
58,30,디케이헤어,서울 서초구 방배중앙로27길 36 1층 (우)06554,월~토 10:00 ~ 21:00,02-534-2977,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
