edu_seq,mem_seq,edu_name,edu_locate,edu_content,edu_phone,edu_score,edu_hit,edu_wdate,edu_update
0,23,샤인뮤직음악연습실,서울 동작구 사당로 277 석승빌딩 2층 (우)07006,매일 08:00 ~ 20:00 (상담시간),02-4070-1440,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
1,25,스카이입시교육학원,서울 동작구 동작대로 149 4층 (우)06996,매일 10:00 ~ 21:00,02-7592-6914,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
2,23,아리엘발레핏필라테스,서울 서초구 서초대로 13 방배마에스트로상가 지하 1층 B107호 (우)06569,월~금 14:30 ~ 22:00,02-0548-5850,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
3,22,예술해,서울 서초구 방배천로18길 46 1층 (우)06677,월~금 10:00 ~ 18:30 (저녁 수업이 있는 경우 21:00까지),02-3330-1666,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
4,23,사당요양보호사교육원,서울 동작구 남부순환로 2053 (우)07024,매일 08:30 ~ 22:30,02-1902-3594,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
5,23,릴드당스,서울 서초구 서초대로26길 19 브라운스톤상가 2층 201호 (우)06664,"매일 10:00 ~ 22:00
매일 휴게시간 14:30 ~ 18:00",02-5594-5656,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
6,23,위드피아노 사당점,서울 동작구 남부순환로 2073 진영빌딩 1층 (우)07025,"매일 12:00 ~ 23:00
매일 휴게시간 17:00 ~ 18:00",02-8689-7598,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
7,24,이루다방배어학원,"서울 서초구 방배로31길 36 지앤지 2, 3층 (우)06562",월~금 12:30 ~ 20:00,02-7509-9783,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
8,23,프랜시스파커 서초,서울 서초구 효령로 49 백제빌딩 (우)06689,월~금 09:00 ~ 18:00,02-7049-9058,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
9,21,웨스트민스터영어학원,서울 서초구 동광로12가길 6 3층 (우)06565,"월,화,목,금 15:00 ~ 22:00",02-6082-1326,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
10,24,리드인 방배으뜸점,서울 서초구 도구로 123-2 삼흥빌딩 1층 103호 (우)06569,매일 12:30 ~ 19:00,02-6430-7250,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
11,22,아람컴퓨터전문학원,서울 동작구 동작대로29길 91 우성2공구상가 404호 (우)06999,월~금 10:00 ~ 22:00,02-9991-7429,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
12,21,드라이빙존 운전면허 이수역점,서울 서초구 동작대로 90 인산빌딩 2층 (우)06675,월~금 11:00 ~ 21:00,010-6640-3005,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
13,23,입시전문서울연기학원,서울 동작구 동작대로 37 3층 (우)07015,매일 13:00 ~ 22:00,02-5461-6449,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
14,24,크레용미술,서울 서초구 청두곶3길 12 1층 102호 (우)06692,월~금 01:00 ~ 06:00,02-8496-4670,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
15,24,청담 국어논술전문학원,서울 서초구 서초대로 43 3층 (우)06570,일요일,02-8092-0880,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
16,21,DS보컬 서울이수점,서울 동작구 사당로26길 38 대림빌딩 3층 (우)07012,매일 11:00 ~ 22:00,02-3553-8045,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
17,25,도로시피아노스튜디오,서울 서초구 방배천로6길 3-10 3층 (우)06691,매일 00:00 ~ 24:00,02-1427-7808,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
18,22,기타스튜디오,서울 동작구 동작대로3길 30 지하 (우)07015,월~금 14:00 ~ 22:00,02-0943-4557,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
19,22,GMI 아카데미,서울 서초구 서초대로 28 장현빌딩3층 (우)06675,월~금 10:00 ~ 23:00,02-8476-7107,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
20,24,수학에미친사람들 방배2관,"서울 서초구 동광로 11 빈센트빌딩 3,4층 (우)06560",월~금 12:00 ~ 22:00,02-3477-0043,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
21,23,제이엘학원,서울 서초구 서초대로 25 유일빌딩 3층 301호 (우)06569,월~금 15:00 ~ 22:00,02-593-0300,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
22,24,모스톤보컬아카데미학원,서울 서초구 효령로31길 10 2층 (우)06686,"매일 13:00 ~ 22:00
매일 휴게시간 17:00 ~ 18:00",02-1133-1166,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
